id,sale_return_id,product_id,original_sale_line_id,qty_returned,unit_price_at_sale,return_unit_price,condition_note,created_at,created_by,updated_at,updated_by,deleted
1967119897607671845,1967119897599283202,1967119892788416578,1967119895212724231,1,114209,91367,Có khiếm khuyết nhỏ,2025-09-19 20:43:04,1967119892956188684,2025-09-22 06:43:04,1967119892956188679,False
1967119897607671846,1967119897599283203,1967119892788416564,1967119894961065986,1,27506,27506,Tốt,2025-09-11 09:10:04,1967119892956188680,2025-09-12 04:10:04,1967119892956188679,False
1967119897607671847,1967119897603477504,1967119892788416537,1967119895325970432,1,55424,44339,Có khiếm khuyết nhỏ,2025-09-17 20:19:04,1967119892956188683,2025-09-18 10:19:04,1967119892956188683,False
1967119897607671848,1967119897603477505,1967119892788416538,1967119895414050822,2,193514,154811,Có khiếm khuyết nhỏ,2025-09-15 08:33:04,1967119892956188680,2025-09-17 19:33:04,1967119892956188680,False
1967119897607671849,1967119897603477506,1967119892788416563,1967119893279150086,1,44942,35953,Có khiếm khuyết nhỏ,2025-07-07 05:03:04,1967119892956188680,2025-07-09 19:03:04,1967119892956188685,False
1967119897607671850,1967119897603477506,1967119892788416547,1967119893279150084,1,495825,148747,Hư hỏng không thể bán,2025-07-07 05:03:04,1967119892956188680,2025-07-09 19:03:04,1967119892956188685,False
1967119897607671851,1967119897603477507,1967119892788416581,1967119894537441289,2,275969,275969,Tốt,2025-08-23 13:37:04,1967119892956188685,2025-08-24 12:37:04,1967119892956188682,False
1967119897607671852,1967119897607671808,1967119892788416555,1967119894529052683,1,19039,19039,Tốt,2025-08-24 03:55:04,1967119892956188684,2025-08-24 22:55:04,1967119892956188679,False
1967119897607671853,1967119897607671809,1967119892788416561,1967119894180925444,1,21699,21699,Tốt,2025-08-03 10:20:04,1967119892956188683,2025-08-05 17:20:04,1967119892956188681,False
1967119897607671854,1967119897607671810,1967119892788416550,1967119895070117888,2,48004,38403,Có khiếm khuyết nhỏ,2025-09-13 12:32:04,1967119892956188679,2025-09-16 04:32:04,1967119892956188683,False
1967119897607671855,1967119897607671811,1967119892788416559,1967119894726184961,2,27115,27115,Tốt,2025-08-23 14:59:04,1967119892956188682,2025-08-25 14:59:04,1967119892956188684,False
1967119897607671856,1967119897607671811,1967119892788416565,1967119894721990660,1,19891,15912,Có khiếm khuyết nhỏ,2025-08-23 14:59:04,1967119892956188682,2025-08-25 14:59:04,1967119892956188684,False
1967119897607671857,1967119897607671812,1967119892788416557,1967119893761495040,1,48093,14427,Hư hỏng không thể bán,2025-07-31 09:22:04,1967119892956188678,2025-08-02 08:22:04,1967119892956188684,False
1967119897607671858,1967119897607671813,1967119892788416555,1967119895372107780,1,19039,19039,Tốt,2025-09-22 04:06:04,1967119892956188680,2025-09-22 06:06:04,1967119892956188684,False
1967119897607671859,1967119897607671814,1967119892788416542,1967119894931705857,2,235309,235309,Tốt,2025-09-09 19:00:04,1967119892956188683,2025-09-10 18:00:04,1967119892956188679,False
1967119897607671860,1967119897607671814,1967119892788416558,1967119894931705858,1,69533,69533,Tốt,2025-09-09 19:00:04,1967119892956188683,2025-09-10 18:00:04,1967119892956188679,False
